Customer Name,Value Stream 
NAIROBI PLASTIC LTD,misc 
NAS AIRPORT SERVICES LTD,misc 
Nasib Industrial Products Ltd(Dr),misc 
Norbrook Kenya Limited(Dr),misc 
Ocenn Lubricants Limited(Dr),lube
ODEX CHEMICALS LTD,misc 
OILZONE (EAST AFRICA) LIMITED,lube
ORBIT CHEMICAL INDUSTRIES LTD,misc 
ORBIT CHEMICAL INDUSTRIES LTD,misc 
ORBIT PRODUCTS AFRICA LIMITED,misc 
ORBIT PRODUCTS AFRICA LIMITED,misc 
OSHO CHEMICAL INDUSTRIES LTD.,misc 
Pan Africa Chemicals Ltd(Dr),misc 
PELICAN SIGNS LTD,misc 
PLASTIC PRODUCTS CO. LTD.,misc 
Plexchem Ltd(Dr),misc 
Polysynthetics Eastern Africa Ltd(Dr),misc 
Powerex Lubricants Ltd(Dr),lube
Powerex Lubricants Ltd(Dr),lube
Powerex Lubricants Ltd(Dr),lube
PREMIER FOOD INDUSTRIES LTD,misc 
PREMIER FOOD LTD,misc 
Premier Industries Ltd(Dr),misc 
PROTEA CHEMICALS KENYA LIMITED,misc 
Pwani Oil Products Ltd(Dr),edible
Pyrethrum Board Of Kenya(Dr),misc 
Pz Cussons East Africa Ltd.(Dr),misc 
Pz Cussons East Africa Ltd.(Dr),misc 
Pz Cussons East Africa Ltd.(Dr),misc 
QUANTUM LUBRICANTS (E.A) LIMITED,lube
R & R PLASTIC LIMITED,misc 
Razco Ltd.(Dr),misc 
REGAL PAINTS UGANDA LIMITED,misc 
Rift Valley Products Ltd(Dr),misc 
RUBIS ENERGY KENYA PUBLIC LIMITED ,lube
Sample A-C(Dr),misc 
SANPAC AFRICA LIMITED,misc 
Sarrchem International Ltd(Dr),misc 
Sarrchem International Uganda Ltd(Dr),misc 
SEASON GENERAL TRADING LTD.,misc 
SEASON GLOBAL LTD,misc 
SEASON GLOBAL LTD,misc 
Sepyana Oil East Africa Limited(Dr),lube
Seweco Paints Ltd(Dr),misc 
Sheargold Limited(Dr),misc 
Shell Lubricants Kenya Limited(Dr),lube
Shell Lubricants Kenya Limited(Dr),lube
Shivam  Enterprises(Dr),misc 
SIKA EAST AFRICA LTD,misc 
Skylink Oil Limited(Dr),misc 
Solvochem East Africa Ltd(Dr),lube
Somochem (K) Ltd(Dr),misc 
SPARTAN RELIEF EPZ LTD,misc 
SPARTAN RELIEF SUPPLIES LTD,misc 
SPECTRA CHEMICALS (K) LTD,misc 
Star Plastics Ltd(Dr),misc 
Star Plastics Ltd(Dr),misc 
Styroplast Ltd.(Dr),misc 
SUPERSLEEK LTD,misc 
Suprima Industries (Kenya) Ltd(Dr),misc 
SYNERGY LUBRICANT SOLUTIONS LIMITED,lube
Syngenta East Africa Ltd(Dr),misc 
TANIA EAST AFRICA LIMITED,misc 
TAPIOCA LIMITED,misc 
Techno Relief Services (Epz) Ltd(Dr),misc 
Techno Relief Services (Epz) Ltd(Dr),misc 
TECHNO RELIEF SERVICES LTD.,misc 
TECHNO RELIEF SERVICES LTD.,misc 
The Real Ipm Company (K) Ltd(Dr),misc 
Thermopak Ltd(Dr),misc 
Thermopak Ltd(Dr),misc 
THIKA WAX WORKS LIMITED,misc 
Top Food E.A. Ltd(Dr),misc 
Total Kenya Ltd(Dr),lube
Trade House Africa Ltd(Dr),misc 
Tri Clover Inds (K) Ltd(Dr),misc 
TROPICAL HEAT LTD,misc 
TROPIKAL BRANDS (AFRICA) LTD,misc 
TROPIKAL BRANDS (AFRICA) LTD,misc 
TRUFOODS LTD.,misc 
Twiga Chemicals Industries Ltd(Dr),misc 
ULTRAVETIS EAST AFRICA LIMITED,misc 
ULTRAVETIS TANZANIA LTD,misc 
ULTRAVETIS ZAMBIA LTD,misc 
Unilever Kenya Ltd.(Dr),misc 
UNITED LUBRICANTS LIMITED,lube
United Millers Ltd(Dr),edible
Unoplast Tanzania Limited(Dr),misc 
USD-BIDCO OIL (UGANDA) LTD,edible
USD - BIDCO OIL AND SOAP LTD,edible
USD-BLOWPLAST UGANDA LTD,misc 
USD-BLOWPLAST UGANDA LTD,misc 
USD-FCS - GT TRADING & INVESTMENTS ,misc 
USD - FCS - KIFMAS COMPANY LIMITED,misc 
USD-FCS - ORIBUT COMPANY LIMITED,misc 
USD-FCS - RELIEFLINE (KENYA) LIMITED,misc 
USD-FCS - RELIEFLINE AFRICA LTD(DR),misc 
USD-FCS - RELIEFLINE UGANDA LIMITED,misc 
USD-FCS - SHALOM PAINTS LTD,misc 
USD-FCS - TRADE KINGS LIMITED,misc 
USD-GOLDEN AFRICA KENYA LIMITED (DR),edible
USD-INTERNATIONAL ORGANISATION FOR ,misc 
USD-INTERNATIONAL ORGANISATION FOR ,misc 
USD-MADAPLAST SARL,misc 
USD-MADAPLAST SARL,misc 
USD-ORBIT PRODUCT AFRICA LIMITED,misc 
USD-POPULATION SERVICES INT-ZIMBABWE,misc 
USD-SARRCHEM INTERNATIONAL KENYA ,misc 
USD-SOAP AND CHEMICAL IND AND ,misc 
USD-TASCO INDUSTRIES LIMITED,misc 
VALENCIA COSMETICS LTD,misc 
VETCARE KENYA LIMITED(DR),misc 
Vetcare Kenya Ltd A-C 2(Dr),misc 
VIVEK INVESTMENTS LTD,misc 
WEBUYE WHOLESALERS,misc 
Well Stock (K) Ltd(Dr),misc 
